tag	run	par2_all	par2_easy	par2_hard	solved	n	env
default	1	9838.140	1031.480	8806.660	13	20	
default	2	9832.479	1027.168	8805.311	13	20	
solver10	1	11301.118	755.551	10545.567	12	20	
ema	1	9837.825	1028.602	8809.223	13	20	SAT_RESTART=kissat-ema
reluctant	1	9837.651	1028.959	8808.692	13	20	SAT_RESTART=reluctant
target_phase	1	9987.582	2151.765	7835.817	13	20	SAT_PHASE=target-then-saved
best_phase	1	9989.390	2156.913	7832.477	13	20	SAT_PHASE=best-then-target-then-saved
rephase	1	11015.146	2224.338	8790.808	12	20	SAT_REPHASE=on
reuse_focused	1	10362.283	1544.820	8817.463	13	20	SAT_RESTART_REUSE_TRAIL_FOCUSED=on
reuse_stable	1	11096.850	2393.591	8703.259	12	20	SAT_RESTART_REUSE_TRAIL_STABLE=on
chrono	1	9890.513	1082.979	8807.534	13	20	SAT_CHRONO=on
binary_fast	1	12448.866	3590.274	8858.592	11	20	SAT_BINARY_FAST=on
otfs	1	10117.715	1356.558	8761.157	13	20	SAT_OTFS=on
otss	1	11025.950	2284.332	8741.618	12	20	SAT_OTSS=on
reorder	1	11012.072	2202.433	8809.639	12	20	SAT_REORDER=on
reuse_trail	1	9942.635	2013.069	7929.566	13	20	SAT_RESTART_REUSE_TRAIL=on
lbd_update_reasons	1	10839.734	2111.284	8728.450	12	20	SAT_LBD_UPDATE_REASONS=on
lbd_update_pair	1	9973.462	1928.516	8044.946	13	20	SAT_LBD_UPDATE_PROP_REASONS=on SAT_LBD_UPDATE_REASONS=on
reduce_tier2	1	9834.398	1027.611	8806.787	13	20	SAT_REDUCE_TIER2_AT_BUDGET=on
watch_compact	1	11912.898	3102.362	8810.536	11	20	SAT_WATCH_COMPACT=on
ema_target	1	9985.914	2155.538	7830.376	13	20	SAT_PHASE=target-then-saved SAT_RESTART=kissat-ema
ema_target_rephase	1	11101.422	2335.818	8765.604	12	20	SAT_PHASE=target-then-saved SAT_REPHASE=on SAT_RESTART=kissat-ema
ema_reuse	1	9956.672	2014.233	7942.439	13	20	SAT_RESTART=kissat-ema SAT_RESTART_REUSE_TRAIL_FOCUSED=on SAT_RESTART_REUSE_TRAIL_STABLE=on
target_rephase	1	11097.704	2330.333	8767.371	12	20	SAT_PHASE=target-then-saved SAT_REPHASE=on
chrono_ema	1	9889.133	1084.401	8804.732	13	20	SAT_CHRONO=on SAT_RESTART=kissat-ema
binfast_tier2	1	12448.726	3583.470	8865.256	11	20	SAT_BINARY_FAST=on SAT_REDUCE_TIER2_AT_BUDGET=on
otfs_otss	1	12241.871	3441.905	8799.966	11	20	SAT_OTFS=on SAT_OTSS=on
ema	2	9837.243	1027.909	8809.334	13	20	SAT_RESTART=kissat-ema
reluctant	2	9833.013	1029.881	8803.132	13	20	SAT_RESTART=reluctant
target_phase	2	9999.035	2160.198	7838.837	13	20	SAT_PHASE=target-then-saved
best_phase	2	9988.395	2157.218	7831.177	13	20	SAT_PHASE=best-then-target-then-saved
