instance,result,verified,time_s,timeout,exit_code
0aa22564d00e9716519918d84b25c4a7-sudoku-N30-12,UNSAT,ok,380.481,600,0
16ff47a05b769ed6a04c7175cfc6da55-sqrt-mitern170,TIMEOUT,skip,600.000,600,124
296fd43ed40e242875984420f29be73f-oddball_24_5_ttf.normalised,TIMEOUT,skip,600.000,600,124
31e843c53a76ff3961935ad55b953298-sqrt-mitern171,UNSAT,ok,314.162,600,0
3746303c659ef65aaa78f3b52cd5de49-6s299b685_Iter30,SAT,ok,119.007,600,0
389bb0a8f3568f4bd0e71771df9093c5-BubbleVsPancakeSort_7_6,TIMEOUT,skip,600.000,600,124
46355da785714f239393e7630020cae3-REGRandom-K4-L1-Seed40.sanitized,UNSAT,ok,368.485,600,0
557d7d4db5399188f62bc39598c6d868-mp1-Nb7T46,TIMEOUT,skip,600.000,600,124
5dbe7b31f9b8d8e56045493439adb949-bp4_CSO_IXA_ZR.normalised,TIMEOUT,skip,600.000,600,124
5e933a625099cc1ec6a8299a7848a2ae-Kakuro-easy-112-ext.xml.hg_7,SAT,ok,152.221,600,0
663bb5659e42c2c75f74354f48895302-SCPC-500-13,UNSAT,ok,48.124,600,0
6832fe907740af686fde98518067ea3f-velev-pipe-sat-1.0-b7,SAT,ok,97.940,600,0
77a0d54f2fb3740a9a321623c0c10f3e-tseitin_grid_n12_m12,TIMEOUT,skip,600.000,600,124
849950561ddce887c78fef773dccfa80-circuit_48in64out_with_800gates_4in4out_dist128_seed3.sanitized,SAT,ok,2.416,600,0
8b22396ef06770c7dfa7552a610fc911-PancakeVsSelectionSort_6_7,TIMEOUT,skip,600.000,600,124
9af7646fc4a32c6f2744ddc0c4b654b7-brocard_problem_large,UNSAT,ok,17.121,600,0
ebbda8d90dfd9b6500bf932f952907a6-2018D_VexRiscv-regch0-20-p1_step,ERROR,skip,48.616,600,134
ed6d842f96d10f3400bce251f9e95bfb-battleship-16-31-sat,SAT,ok,0.091,600,0
f0bafebdcce23ccfbaf6c27a7522069b-div-mitern172,UNSAT,ok,148.678,600,0
fab2022deb130fe3ad1136a5c71b4109-case9,TIMEOUT,skip,600.000,600,124
