instance,result,time_s,conflicts,decisions,propagations,restarts,learned_final,exit_code
3746303c659ef65aaa78f3b52cd5de49-6s299b685_Iter30,SAT,16.535,3764,757127,28092395,19,3761,0
46355da785714f239393e7630020cae3-REGRandom-K4-L1-Seed40.sanitized,UNSAT,59.456,1607608,6363482,30213317,3069,1607481,0
557d7d4db5399188f62bc39598c6d868-mp1-Nb7T46,SAT,44.244,425229,1413611,289974291,1020,425229,0
663bb5659e42c2c75f74354f48895302-SCPC-500-13,UNSAT,13.479,188144,283638,13830775,508,4140,0
9af7646fc4a32c6f2744ddc0c4b654b7-brocard_problem_large,UNSAT,8.833,403,1101,22600764,2,401,0
ed6d842f96d10f3400bce251f9e95bfb-battleship-16-31-sat,SAT,23.285,593019,1415490,13003103,1274,7603,0
0aa22564d00e9716519918d84b25c4a7-sudoku-N30-12,UNSAT,198.218,259775,6772770,1312437897,617,212310,0
