instance,result,verified,time_s,timeout,exit_code
d971241ca861121371d20be1d61c15a3-arles_thres20_p10_r7532,UNSAT,ok,0.010,1800,0
de8c42d50f1dbf43a731f1916dc6bf01-16_16_booth_dadda_mapped_and_and_wallace_origin_bit28,TIMEOUT,skip,1800.000,1800,124
e12874b16df577b301608d03731595d8-rphp5_085_shuffled,TIMEOUT,skip,1800.000,1800,124
e2d2b011b0805782df6adba648db92e8-59-129706,TIMEOUT,skip,1800.000,1800,124
e318e2ac78b473091c3c2197afd7fc98-544707209399nw.shuffled-as.sat03-1671,SAT,ok,152.550,1800,0
ebbda8d90dfd9b6500bf932f952907a6-2018D_VexRiscv-regch0-20-p1_step,TIMEOUT,skip,1800.000,1800,124
ed6d842f96d10f3400bce251f9e95bfb-battleship-16-31-sat,SAT,ok,6.995,1800,0
ee5fb3e181571740adb8444bd052dbdc-11.normalised,SAT,ok,150.692,1800,0
f0bafebdcce23ccfbaf6c27a7522069b-div-mitern172,UNSAT,ok,782.746,1800,0
f17dfbed8c18716a41b231702e127524-SC25_Timetable_C_406_E_45_Cl_26_D_7_T_50.normalised,ERROR,skip,629.562,1800,134
f1973c0a4e960a914ff12aa7e4e9293c-lockchart-group2-rnd0.3-L19-K38-P8D4J1_4,TIMEOUT,skip,1800.000,1800,124
f25a1df88f89c6bcbe2602fa7f6e816b-1-TC-256-K-63.sanitized,TIMEOUT,skip,1800.000,1800,124
f3abc375afaf48c7eae21500b773bd21-tseitin_grid_n400_m400,TIMEOUT,skip,1800.000,1800,124
f4ca5fca83e870d2ed56f2b00b074ed4-TT7F-33-24B,TIMEOUT,skip,1800.000,1800,124
fab2022deb130fe3ad1136a5c71b4109-case9,SAT,ok,208.086,1800,0
fbdca334e6985cd2de8718b60695b5f6-gm16sparrc,UNSAT,ok,0.527,1800,0
