config,rows_completed,solved,unknown,par2_on_completed_rows,wall_s_on_completed_rows,unknowns
A_default,10,10,0,845.424000,845.424000,
B_no_min,2,1,1,618.649000,314.529000,0aa22564d00e9716519918d84b25c4a7-sudoku-N30-12
