instance,result,time_s,timeout,exit_code
b655faa69774192a80d9e2a2bc602ce4-Kakuro-easy-115-ext.xml.hg_5,SAT,135.346,1800,10
bea83d274b1c57b2171b380e34fd645d-xor_op_n36_d3,TIMEOUT,1800.000,1800,124
c0074020a48535e6062421cea2850dd0-st_659_37_25_686.normalised,TIMEOUT,1800.000,1800,124
c05d4d3ecd06a2e3942fea09159dd27b-MVRoundRobin_n16_d10_v2,TIMEOUT,1800.000,1800,124
c0bd86bd7ca2c65e44311de374168150-goldcrest-and-14,UNSAT,761.148,1800,20
c8cde50f32ca3f78a4c74a173c63449b-bp5_CSO.normalised,SAT,761.814,1800,10
cb950b9accfb53eb98f77b0f995ac0ae-rphp5_050_shuffled,TIMEOUT,1800.000,1800,124
d2af3fde615d7c4d4a4574fc8839970e-lockchart-group1-L190-K276-p8d4j1.normalised,SAT,817.178,1800,10
d5b11b0b73eb4ecebdbf6ee8143da689-oisc-subrv-and-nested-11,TIMEOUT,1800.000,1800,124
d89fc3e9c24e0383e940464f4704657e-SC25_Timetable_C_395_E_47_Cl_27_D_7_T_50.normalised,SAT,14.232,1800,10
d971241ca861121371d20be1d61c15a3-arles_thres20_p10_r7532,UNSAT,0.006,1800,20
de8c42d50f1dbf43a731f1916dc6bf01-16_16_booth_dadda_mapped_and_and_wallace_origin_bit28,UNSAT,814.979,1800,20
e12874b16df577b301608d03731595d8-rphp5_085_shuffled,TIMEOUT,1800.000,1800,124
e2d2b011b0805782df6adba648db92e8-59-129706,SAT,533.114,1800,10
e318e2ac78b473091c3c2197afd7fc98-544707209399nw.shuffled-as.sat03-1671,SAT,9.110,1800,10
ebbda8d90dfd9b6500bf932f952907a6-2018D_VexRiscv-regch0-20-p1_step,UNSAT,135.816,1800,20
ed6d842f96d10f3400bce251f9e95bfb-battleship-16-31-sat,SAT,0.181,1800,10
ee5fb3e181571740adb8444bd052dbdc-11.normalised,SAT,32.239,1800,10
f0bafebdcce23ccfbaf6c27a7522069b-div-mitern172,UNSAT,30.479,1800,20
f17dfbed8c18716a41b231702e127524-SC25_Timetable_C_406_E_45_Cl_26_D_7_T_50.normalised,SAT,27.639,1800,10
f1973c0a4e960a914ff12aa7e4e9293c-lockchart-group2-rnd0.3-L19-K38-P8D4J1_4,SAT,433.699,1800,10
f25a1df88f89c6bcbe2602fa7f6e816b-1-TC-256-K-63.sanitized,SAT,101.764,1800,10
f3abc375afaf48c7eae21500b773bd21-tseitin_grid_n400_m400,TIMEOUT,1800.000,1800,124
f4ca5fca83e870d2ed56f2b00b074ed4-TT7F-33-24B,TIMEOUT,1800.000,1800,124
fab2022deb130fe3ad1136a5c71b4109-case9,SAT,78.918,1800,10
fbdca334e6985cd2de8718b60695b5f6-gm16sparrc,UNSAT,0.114,1800,20
