label,result,elapsed_sec,conflicts,decisions,propagations,restarts,learned_clauses_final,learned_lits_final,phase_legacy_used,phase_saved_used,phase_target_used,phase_save_target,max_decision_level,avg_decision_level,proof_added_literals
default_trace,UNSAT,218.367186,259775,6772770,1312437897,617,212310,29406410,6772770,0,0,0,804,220.528716,49620264
target_phase_trace,UNKNOWN,295.741021,347921,11347958,1472258381,827,329323,55669369,0,412308,10935538,527257,900,245.664953,75744478
