================================================================================
Multi-config ablation: conflict analysis / minimization / OTFS / VMTF
================================================================================

## PAR-2 per config

config                  solved   to  unk  err     PAR-2
G_deep_min             ed6d842f96d10f3400bce251f9e95bfb-bat    1.00   0.99   0.99    0.99
G_deep_min             fab2022deb130fe3ad1136a5c71b4109-cas    1.00   1.00   1.00    1.00

## Conflict/propagation/restart counters (vs A_baseline)

cfg                    instance                                A_conf     A_prop   C_conf     C_prop
B_ccmin_off            3746303c659ef65aaa78f3b52cd5de49-6s2      3764   28092395     7819   31783799
B_ccmin_off            46355da785714f239393e7630020cae3-REG   1607608   30213317  1300234   20980758
B_ccmin_off            663bb5659e42c2c75f74354f48895302-SCP    188144   13830775   253353   18322813
B_ccmin_off            6832fe907740af686fde98518067ea3f-vel    179968  436279112   214749  404619573
B_ccmin_off            9af7646fc4a32c6f2744ddc0c4b654b7-bro       403   22600764      569   44812189
C_ccmin_basic          0aa22564d00e9716519918d84b25c4a7-sud    259775 1312437897   311488 1490563714
C_ccmin_basic          3746303c659ef65aaa78f3b52cd5de49-6s2      3764   28092395     1308   16946662
C_ccmin_basic          46355da785714f239393e7630020cae3-REG   1607608   30213317  1461213   27900092
C_ccmin_basic          5e933a625099cc1ec6a8299a7848a2ae-Kak    732107  617655456   781706  647530099
C_ccmin_basic          663bb5659e42c2c75f74354f48895302-SCP    188144   13830775   206101   15052171
C_ccmin_basic          6832fe907740af686fde98518067ea3f-vel    179968  436279112    67693  142275803
C_ccmin_basic          9af7646fc4a32c6f2744ddc0c4b654b7-bro       403   22600764      565   36808770
C_ccmin_basic          fab2022deb130fe3ad1136a5c71b4109-cas   4186969  436186040  3811034  394834292
D_ccmin_inblock        0aa22564d00e9716519918d84b25c4a7-sud    259775 1312437897   263204 1392473097
D_ccmin_inblock        3746303c659ef65aaa78f3b52cd5de49-6s2      3764   28092395     1272   13778529
D_ccmin_inblock        46355da785714f239393e7630020cae3-REG   1607608   30213317  1607371   31138325
D_ccmin_inblock        557d7d4db5399188f62bc39598c6d868-mp1    425229  289974291  1093645  775960698
D_ccmin_inblock        5e933a625099cc1ec6a8299a7848a2ae-Kak    732107  617655456    82441   71193091
D_ccmin_inblock        663bb5659e42c2c75f74354f48895302-SCP    188144   13830775   179799   13048996
D_ccmin_inblock        6832fe907740af686fde98518067ea3f-vel    179968  436279112    76160  240851979
D_ccmin_inblock        9af7646fc4a32c6f2744ddc0c4b654b7-bro       403   22600764      663   67589546
E_otfs_on              0aa22564d00e9716519918d84b25c4a7-sud    259775 1312437897   270272 1319501994
E_otfs_on              3746303c659ef65aaa78f3b52cd5de49-6s2      3764   28092395     3387   23517117
E_otfs_on              46355da785714f239393e7630020cae3-REG   1607608   30213317  1576948   29151278
E_otfs_on              5e933a625099cc1ec6a8299a7848a2ae-Kak    732107  617655456   119998  100454593
E_otfs_on              663bb5659e42c2c75f74354f48895302-SCP    188144   13830775   154598   11417979
E_otfs_on              9af7646fc4a32c6f2744ddc0c4b654b7-bro       403   22600764      403   22600764
E_otfs_on              ed6d842f96d10f3400bce251f9e95bfb-bat    593019   13003103   593019   13003103
E_otfs_on              fab2022deb130fe3ad1136a5c71b4109-cas   4186969  436186040  4199111  437914017
F_resolved             0aa22564d00e9716519918d84b25c4a7-sud    259775 1312437897   259775 1312437897
F_resolved             3746303c659ef65aaa78f3b52cd5de49-6s2      3764   28092395     3764   28092395
F_resolved             46355da785714f239393e7630020cae3-REG   1607608   30213317  1607608   30213317
F_resolved             557d7d4db5399188f62bc39598c6d868-mp1    425229  289974291   425229  289974291
F_resolved             5e933a625099cc1ec6a8299a7848a2ae-Kak    732107  617655456   732107  617655456
F_resolved             663bb5659e42c2c75f74354f48895302-SCP    188144   13830775   188144   13830775
F_resolved             6832fe907740af686fde98518067ea3f-vel    179968  436279112   179968  436279112
F_resolved             9af7646fc4a32c6f2744ddc0c4b654b7-bro       403   22600764      403   22600764
F_resolved             ed6d842f96d10f3400bce251f9e95bfb-bat    593019   13003103   593019   13003103
F_resolved             fab2022deb130fe3ad1136a5c71b4109-cas   4186969  436186040  4186969  436186040
G_deep_min             0aa22564d00e9716519918d84b25c4a7-sud    259775 1312437897   259775 1312437897
G_deep_min             3746303c659ef65aaa78f3b52cd5de49-6s2      3764   28092395     3764   28092395
G_deep_min             46355da785714f239393e7630020cae3-REG   1607608   30213317  1607608   30213317
G_deep_min             557d7d4db5399188f62bc39598c6d868-mp1    425229  289974291   425229  289974291
G_deep_min             5e933a625099cc1ec6a8299a7848a2ae-Kak    732107  617655456   732107  617655456
G_deep_min             663bb5659e42c2c75f74354f48895302-SCP    188144   13830775   188144   13830775
G_deep_min             6832fe907740af686fde98518067ea3f-vel    179968  436279112   179968  436279112
G_deep_min             9af7646fc4a32c6f2744ddc0c4b654b7-bro       403   22600764      403   22600764
G_deep_min             ed6d842f96d10f3400bce251f9e95bfb-bat    593019   13003103   593019   13003103
G_deep_min             fab2022deb130fe3ad1136a5c71b4109-cas   4186969  436186040  4186969  436186040
